feature,driver,spearman_rho,spearman_p,kruskal_h,kruskal_p,mutual_info,composite_score
northward_wind_mean__slope,northward_wind_mean,0.41743906651794616,0.1769584369228486,3.775641025641029,0.43722014649068774,0.0,1.1941779676159947
northward_wind_max__p10,northward_wind_max,-0.4138404538755501,0.18110577941104283,3.8076923076923066,0.4326569900869014,0.0,1.19153718309984
northward_wind_mean__p10,northward_wind_mean,-0.4138404538755501,0.18110577941104283,3.8076923076923066,0.4326569900869014,0.0,1.19153718309984
VSDX_max__anom_mean,VSDX_max,0.3022834619612713,0.3395966459973435,5.160256410256409,0.2712458716766648,0.0,1.171203786913896
VHM0_mean__p90,VHM0_mean,0.3958473906635696,0.2027454857001972,3.871794871794876,0.4236344850793108,0.0,1.1647034756176178
VSDX_max__anom_pos_months,VSDX_max,-0.16451044739936643,0.6094077729108138,6.146063960639607,0.18850244527454155,0.09494949494949534,1.1486534014515817
wind_speed_mean__anom_mean,wind_speed_mean,0.43543212972992656,0.15711749770322855,2.78846153846154,0.5938260949629708,0.05043290043290116,1.147637881671716
eastward_wind_max__anom_neg_months,eastward_wind_max,-0.43775536983775853,0.1546638194588793,3.025664251207723,0.5535397732675349,0.0,1.1323619081545948
eastward_wind_mean__anom_neg_months,eastward_wind_mean,-0.43775536983775853,0.1546638194588793,3.025664251207723,0.5535397732675349,0.0,1.1323619081545948
uo_max__p50,uo_max,-0.2015223079741809,0.5299574931299753,5.519230769230774,0.2380442439182824,0.10014430014430054,1.1265312317075338
VMDR_mean__p90,VMDR_mean,0.43903074237232265,0.15332729178432358,2.948717948717956,0.5664436849781147,0.0,1.1249047453352266
zos_max__p50,zos_max,0.1979236953317848,0.5374827183010917,6.141025641025635,0.1888610293422232,0.0,1.119705038285663
zos_mean__p50,zos_mean,0.1979236953317848,0.5374827183010917,6.141025641025635,0.1888610293422232,0.0,1.119705038285663
wind_speed_max__anom_mean,wind_speed_max,0.43543212972992656,0.15711749770322855,2.78846153846154,0.5938260949629708,0.020129870129870664,1.1173348513686856
uo_max__anom_neg_months,uo_max,0.40688427327675425,0.18929300713801026,3.3537483266399017,0.5004615999779596,0.0,1.1143977865304384
uo_mean__anom_neg_months,uo_mean,0.40688427327675425,0.18929300713801026,3.3537483266399017,0.5004615999779596,0.0,1.1143977865304384
vo_max__anom_peak_neg,vo_max,-0.18712785740459653,0.5603244610408404,5.160256410256409,0.2712458716766648,0.1615079365079366,1.102400514308483
eastward_wind_max__anom_peak_neg,eastward_wind_max,0.3670584895244009,0.24051697237940173,3.775641025641029,0.43722014649068774,0.0,1.0934168136289042
